,Serial Number,Date,Province/State,Country,Last Update,Confirmed,Deaths,Recovered
0,1,22/01/2020,,Japan,1/22/2020 12:00,2.0,0,0
1,2,22/01/2020,,,1/22/2020 12:00,,0,0
2,3,,,South Korea,1/22/2020 12:00,1.0,0,0
3,4,23/01/2020,Anhui,Mainland China,1/23/2020 12:00,9.0,0,0
4,5,23/01/2020,Hong Kong,Hong Kong,1/23/2020 12:00,2.0,0,0
5,6,23/01/2020,Macau,,1/23/2020 12:00,2.0,0,0
6,7,23/01/2020,Taiwan,Taiwan,1/23/2020 12:00,1.0,0,0
7,8,23/01/2020,,Japan,1/23/2020 12:00,1.0,0,0
8,9,23/01/2020,,Thailand,1/23/2020 12:00,3.0,0,0
9,10,23/01/2020,,South Korea,1/23/2020 12:00,1.0,0,0
10,11,23/01/2020,,Singapore,1/23/2020 12:00,1.0,0,0
11,12,23/01/2020,,Philippines,1/23/2020 12:00,0.0,0,0
12,13,23/01/2020,,Malaysia,1/23/2020 12:00,0.0,0,0
13,14,23/01/2020,,Vietnam,1/23/2020 12:00,2.0,0,0
14,15,23/01/2020,,Australia,1/23/2020 12:00,0.0,0,0
15,16,23/01/2020,,Mexico,1/23/2020 12:00,0.0,0,0
16,17,23/01/2020,,Brazil,1/23/2020 12:00,0.0,0,0
17,18,24/01/2020,Taiwan,Taiwan,1/24/2020 12:00,3.0,0,0
18,19,24/01/2020,Hong Kong,Hong Kong,1/24/2020 12:00,2.0,0,0
19,20,24/01/2020,Macau,Macau,1/24/2020 12:00,2.0,0,0
20,21,24/01/2020,,Japan,1/24/2020 12:00,2.0,0,0
21,22,24/01/2020,,Thailand,1/24/2020 12:00,5.0,0,0
22,23,24/01/2020,,South Korea,1/24/2020 12:00,2.0,0,0
23,24,24/01/2020,,Singapore,1/24/2020 12:00,3.0,0,0
24,25,24/01/2020,,Vietnam,1/24/2020 12:00,2.0,0,0
25,26,24/01/2020,,France,1/24/2020 16:00,2.0,0,0
26,27,25/01/2020,Hong Kong,Hong Kong,1/25/2020 12:00,5.0,0,0
27,28,25/01/2020,Taiwan,Taiwan,1/25/2020 12:00,3.0,0,0
28,29,25/01/2020,Macau,Macau,1/25/2020 12:00,2.0,0,0
29,30,25/01/2020,,Japan,1/25/2020 12:00,2.0,0,0
30,31,25/01/2020,,Thailand,1/25/2020 12:00,7.0,0,0
31,32,25/01/2020,,South Korea,1/25/2020 12:00,3.0,0,0
32,33,25/01/2020,,Singapore,1/25/2020 12:00,3.0,0,0
33,34,25/01/2020,,Vietnam,1/25/2020 12:00,2.0,0,0
34,35,25/01/2020,,France,1/25/2020 12:00,3.0,0,0
35,36,25/01/2020,,Australia,1/25/2020 12:00,4.0,0,0
36,37,25/01/2020,,Nepal,1/25/2020 12:00,1.0,0,0
37,38,25/01/2020,,Malaysia,1/25/2020 12:00,3.0,0,0
38,39,26/01/2020,Hong Kong,Hong Kong,1/26/2020 23:00,8.0,0,0
39,40,26/01/2020,Macau,Macau,1/26/2020 23:00,6.0,0,0
40,41,26/01/2020,Taiwan,Taiwan,1/26/2020 23:00,4.0,0,0
41,42,26/01/2020,,Japan,1/26/2020 23:00,4.0,0,1
42,43,26/01/2020,,Thailand,1/26/2020 23:00,8.0,0,2
43,44,26/01/2020,,South Korea,1/26/2020 23:00,3.0,0,0
44,45,26/01/2020,,Singapore,1/26/2020 23:00,4.0,0,0
45,46,26/01/2020,,Vietnam,1/26/2020 23:00,2.0,0,0
46,47,26/01/2020,,France,1/26/2020 23:00,3.0,0,0
47,48,26/01/2020,,Australia,1/26/2020 23:00,4.0,0,0
48,49,26/01/2020,,Nepal,1/26/2020 23:00,1.0,0,0
49,50,26/01/2020,,Malaysia,1/26/2020 23:00,4.0,0,0
50,51,26/01/2020,Ontario,Canada,1/26/2020 23:00,1.0,0,0
51,52,27/01/2020,Hong Kong,Hong Kong,1/27/2020 20:30,8.0,0,0
52,53,27/01/2020,Macau,Macau,1/27/2020 20:30,6.0,0,0
53,54,27/01/2020,Taiwan,Taiwan,1/27/2020 20:30,5.0,0,0
54,55,27/01/2020,,Japan,1/27/2020 20:30,4.0,0,1
55,56,27/01/2020,,Thailand,1/27/2020 20:30,8.0,0,2
56,57,27/01/2020,,South Korea,1/27/2020 20:30,4.0,0,0
57,58,27/01/2020,,Singapore,1/27/2020 20:30,5.0,0,0
58,59,27/01/2020,,Vietnam,1/27/2020 20:30,2.0,0,0
59,60,27/01/2020,,France,1/27/2020 20:30,3.0,0,0
60,61,27/01/2020,,Nepal,1/27/2020 20:30,1.0,0,0
61,62,27/01/2020,,Malaysia,1/27/2020 20:30,4.0,0,0
62,63,27/01/2020,Ontario,Canada,1/27/2020 20:30,1.0,0,0
63,64,27/01/2020,,Cambodia,1/27/2020 20:30,1.0,0,0
64,65,27/01/2020,,Sri Lanka,1/27/2020 20:30,1.0,0,0
65,66,27/01/2020,,Ivory Coast,1/27/2020 20:30,0.0,0,0
66,67,27/01/2020,New South Wales,Australia,1/27/2020 20:30,4.0,0,0
67,68,27/01/2020,Victoria,Australia,1/27/2020 20:30,1.0,0,0
68,69,27/01/2020,Bavaria,Germany,1/27/2020 20:30,1.0,0,0
69,70,28/01/2020,Hong Kong,Hong Kong,1/28/2020 23:00,8.0,0,0
70,71,28/01/2020,Taiwan,Taiwan,1/28/2020 23:00,8.0,0,0
71,72,28/01/2020,Macau,Macau,1/28/2020 23:00,7.0,0,0
72,73,28/01/2020,,Japan,1/28/2020 23:00,7.0,0,1
73,74,28/01/2020,,Thailand,1/28/2020 23:00,14.0,0,5
74,75,28/01/2020,,South Korea,1/28/2020 23:00,4.0,0,0
75,76,28/01/2020,,Singapore,1/28/2020 23:00,7.0,0,0
76,77,28/01/2020,,Vietnam,1/28/2020 23:00,2.0,0,0
77,78,28/01/2020,,France,1/28/2020 23:00,4.0,0,0
78,79,28/01/2020,,Nepal,1/28/2020 23:00,1.0,0,0
79,80,28/01/2020,,Malaysia,1/28/2020 23:00,7.0,0,0
80,81,28/01/2020,Ontario,Canada,1/28/2020 23:00,1.0,0,0
81,82,28/01/2020,British Columbia,Canada,1/28/2020 23:00,1.0,0,0
82,83,28/01/2020,,Cambodia,1/28/2020 23:00,1.0,0,0
83,84,28/01/2020,,Sri Lanka,1/28/2020 23:00,1.0,0,0
84,85,28/01/2020,New South Wales,Australia,1/28/2020 23:00,4.0,0,0
85,86,28/01/2020,Victoria,Australia,1/28/2020 23:00,1.0,0,0
86,87,28/01/2020,Bavaria,Germany,1/28/2020 23:00,4.0,0,0
87,88,29/01/2020,Hong Kong,Hong Kong,1/29/2020 21:00,10.0,0,0
88,89,29/01/2020,Taiwan,Taiwan,1/29/2020 21:00,8.0,0,0
89,90,29/01/2020,Macau,Macau,1/29/2020 21:00,7.0,0,0
90,91,29/01/2020,,Japan,1/29/2020 21:00,11.0,0,1
91,92,29/01/2020,,Thailand,1/29/2020 21:00,14.0,0,5
92,93,29/01/2020,,South Korea,1/29/2020 21:00,4.0,0,0
93,94,29/01/2020,,Singapore,1/29/2020 21:00,10.0,0,0
94,95,29/01/2020,,Vietnam,1/29/2020 21:00,2.0,0,0
95,96,29/01/2020,,France,1/29/2020 21:00,5.0,0,0
96,97,29/01/2020,,Nepal,1/29/2020 21:00,1.0,0,0
97,98,29/01/2020,,Malaysia,1/29/2020 21:00,7.0,0,0
98,99,29/01/2020,Ontario,Canada,1/29/2020 21:00,2.0,0,0
99,100,29/01/2020,British Columbia,Canada,1/29/2020 21:00,1.0,0,0
100,101,29/01/2020,,Cambodia,1/29/2020 21:00,1.0,0,0
101,102,29/01/2020,,Sri Lanka,1/29/2020 21:00,1.0,0,0
102,103,29/01/2020,New South Wales,Australia,1/29/2020 21:00,4.0,0,0
103,104,29/01/2020,Victoria,Australia,1/29/2020 21:00,2.0,0,0
104,105,29/01/2020,Queensland,Australia,1/29/2020 21:00,1.0,0,0
105,106,29/01/2020,Bavaria,Germany,1/29/2020 21:00,4.0,0,0
106,107,29/01/2020,,Finland,1/29/2020 21:00,1.0,0,0
107,108,29/01/2020,,United Arab Emirates,1/29/2020 21:00,4.0,0,0
108,109,30/01/2020,Hong Kong,Hong Kong,1/30/2020 21:30,12.0,0,0
109,110,30/01/2020,Taiwan,Taiwan,1/30/2020 21:30,9.0,0,0
110,111,30/01/2020,Macau,Macau,1/30/2020 21:30,7.0,0,0
111,112,30/01/2020,,Japan,1/30/2020 21:30,11.0,0,1
112,113,30/01/2020,,Thailand,1/30/2020 21:30,14.0,0,5
113,114,30/01/2020,,South Korea,1/30/2020 21:30,6.0,0,0
114,115,30/01/2020,,Singapore,1/30/2020 21:30,10.0,0,0
115,116,30/01/2020,,Vietnam,1/30/2020 21:30,2.0,0,0
116,117,30/01/2020,,France,1/30/2020 21:30,5.0,0,0
117,118,30/01/2020,,Nepal,1/30/2020 21:30,1.0,0,0
118,119,30/01/2020,,Malaysia,1/30/2020 21:30,8.0,0,0
119,120,30/01/2020,Ontario,Canada,1/30/2020 21:30,2.0,0,0
120,121,30/01/2020,British Columbia,Canada,1/30/2020 21:30,1.0,0,0
121,122,30/01/2020,,Cambodia,1/30/2020 21:30,1.0,0,0
122,123,30/01/2020,,Sri Lanka,1/30/2020 21:30,1.0,0,0
123,124,30/01/2020,New South Wales,Australia,1/30/2020 21:30,4.0,0,2
124,125,30/01/2020,Victoria,Australia,1/30/2020 21:30,2.0,0,0
125,126,30/01/2020,Queensland,Australia,1/30/2020 21:30,3.0,0,0
126,127,30/01/2020,Bavaria,Germany,1/30/2020 21:30,4.0,0,0
127,128,30/01/2020,,Finland,1/30/2020 21:30,1.0,0,0
128,129,30/01/2020,,United Arab Emirates,1/30/2020 21:30,4.0,0,0
